mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
13	11	67	67	1.0	5/4	5/4	3/2	4	1	1/4	1/4	1		7	49	C#3	3	196
13	11	67	67	1.0	5/4	5/4	3/2	2	1	1/4	1/4	1		11	77	E#5	5	184
13	11	67	67	1.0	5/4	5/4	3/2	1	1	1/4	1/4	1		6	78	F#5	5	181
14	12	68	68	1.0	0	0	3/2	3	1	1/4	1/4	1		6	54	F#3	3	203
14	12	68	68	1.0	0	0	3/2	4	1	1/4	1/4	1		6	54	F#3	3	209
14	12	68	68	4.0	0	0	3/2	1	1	1	1	1		6	78	F#5	5	197
14	12	68	68	4.0	0	0	3/2	2	1	1	1	1		6	78	F#5	5	200
14	12	69	69	1.0	1/4	1/4	3/2	3	1	1/4	1/4	1		11	53	E#3	3	204
14	12	69	69	1.0	1/4	1/4	3/2	4	1	1/4	1/4	1		11	53	E#3	3	210
14	12	70	70	1.0	1/2	1/2	3/2	3	1	1/4	1/4	1		6	54	F#3	3	205
14	12	70	70	1.0	1/2	1/2	3/2	4	1	1/4	1/4	1		6	54	F#3	3	211
14	12	71	71	1.0	3/4	3/4	3/2	3	1	1/4	1/4	1		8	56	G#3	3	206
14	12	71	71	1.0	3/4	3/4	3/2	4	1	1/4	1/4	1		8	56	G#3	3	212
14	12	72	72	1.0	1	1	3/2	3	1	1/4	1/4	1		3	57	A3	3	207
14	12	72	72	1.0	1	1	3/2	4	1	1/4	1/4	1		3	57	A3	3	213
14	12	72	72	1.0	1	1	3/2	1	1	1/4	1/4	1		7	73	C#5	5	198
14	12	72	72	1.0	1	1	3/2	2	1	1/4	1/4	1		4	76	E5	5	201
14	12	73	73	1.0	5/4	5/4	3/2	3	1	1/4	1/4	1		6	54	F#3	3	208
14	12	73	73	1.0	5/4	5/4	3/2	4	1	1/4	1/4	1		6	54	F#3	3	214
14	12	73	73	1.0	5/4	5/4	3/2	2	1	1/4	1/4	1		3	69	A4	4	202
14	12	73	73	1.0	5/4	5/4	3/2	1	1	1/4	1/4	1		2	74	D5	5	199
15	13	74	74	1.0	0	0	3/2	3	1	1/4	1/4	1		8	56	G#3	3	223
15	13	74	74	1.0	0	0	3/2	4	1	1/4	1/4	1		8	56	G#3	3	229
15	13	74	74	3.0	0	0	3/2	2	1	3/4	1/2	3/2		5	71	B4	4	219
15	13	74	74	3.0	0	0	3/2	1	1	3/4	1/2	3/2		4	76	E5	5	215
15	13	75	75	1.0	1/4	1/4	3/2	3	1	1/4	1/4	1		6	54	F#3	3	224
15	13	75	75	1.0	1/4	1/4	3/2	4	1	1/4	1/4	1		6	54	F#3	3	230
15	13	76	76	1.0	1/2	1/2	3/2	3	1	1/4	1/4	1		8	56	G#3	3	225
15	13	76	76	1.0	1/2	1/2	3/2	4	1	1/4	1/4	1		8	56	G#3	3	231
15	13	77	77	1.0	3/4	3/4	3/2	3	1	1/4	1/4	1		4	52	E3	3	226
15	13	77	77	1.0	3/4	3/4	3/2	4	1	1/4	1/4	1		4	52	E3	3	232
15	13	77	77	1.0	3/4	3/4	3/2	2	1	1/4	1/4	1		7	73	C#5	5	220
15	13	77	77	1.0	3/4	3/4	3/2	1	1	1/4	1/4	1		4	76	E5	5	216
15	13	78	78	1.0	1	1	3/2	3	1	1/4	1/4	1		3	57	A3	3	227
15	13	78	78	1.0	1	1	3/2	4	1	1/4	1/4	1		3	57	A3	3	233
15	13	78	78	1.0	1	1	3/2	2	1	1/4	1/4	1		5	71	B4	4	221
15	13	78	78	1.0	1	1	3/2	1	1	1/4	1/4	1		2	74	D5	5	217
